verb		list	atpdwnv	ttpupv	tbdwnv	abupv	allacrh	tlracrh	trlacrh	arracrh		upwrd	dwnwrd	vert	left	right	horiz	toward	away
encourage	3	0.77	0.27	0.03	1.83	2.33	0.37	0.43	1.47		2.10	0.80	2.90	2.77	1.83	4.60	1.10	6.40
endure		3	0.10	1.07	1.60	0.53	1.13	1.27	2.07	0.23		1.60	1.70	3.30	3.20	1.50	4.70	6.00	2.00
enter		2	2.25	0.09	0.00	2.41	2.34	0.00	0.00	1.09		2.50	2.25	4.75	2.34	1.09	3.44	0.09	8.09
entice		1	0.30	0.97	0.63	0.43	0.63	2.17	1.60	0.57		1.40	0.93	2.33	2.23	2.73	4.97	5.37	1.93
erect		add	0.25	0.00	0.25	3.92	2.08	0.00	0.00	0.92		3.92	0.50	4.42	2.08	0.92	3.00	0.25	7.17
erode		2	1.56	0.22	2.00	0.22	0.47	0.81	1.00	0.75		0.44	3.56	4.00	1.47	1.56	3.03	4.03	3.00
escalate	add	0.75	2.67	0.17	3.08	0.67	0.08	0.08	0.25		5.75	0.92	6.67	0.75	0.33	1.08	3.00	4.75
escape		3	0.37	1.73	0.97	0.20	0.40	1.47	2.27	0.23		1.93	1.33	3.27	2.67	1.70	4.37	6.43	1.20
evict		1	1.43	0.00	0.13	0.43	2.63	0.10	0.00	2.03		0.43	1.57	2.00	2.63	2.13	4.77	0.23	6.53
evolve		1	0.27	0.87	0.63	1.67	1.50	0.33	0.60	0.10		2.53	0.90	3.43	2.10	0.43	2.53	2.43	3.53
exchange	2	0.91	0.00	0.00	0.78	2.56	0.28	0.31	2.34		0.78	0.91	1.69	2.88	2.63	5.50	0.59	6.59
exhale		1	1.83	0.27	0.20	0.97	2.37	0.10	0.17	0.90		1.23	2.03	3.27	2.53	1.00	3.53	0.73	6.07
exist		2	0.28	1.25	1.13	0.94	1.41	0.44	0.91	0.38		2.19	1.41	3.59	2.31	0.81	3.13	3.72	3.00
exit		1	0.27	1.13	1.63	0.23	0.23	1.50	2.00	0.17		1.37	1.90	3.27	2.23	1.67	3.90	6.27	0.90
expand		add	0.42	1.17	0.08	1.67	2.33	0.42	0.42	1.42		2.83	0.50	3.33	2.75	1.83	4.58	2.08	5.83
expel		2	1.75	0.00	0.09	0.88	2.09	0.00	0.13	2.09		0.88	1.84	2.72	2.22	2.09	4.31	0.22	6.81
fail		add	3.08	0.17	3.17	0.08	0.67	0.75	0.33	0.42		0.25	6.25	6.50	1.00	1.17	2.17	4.42	4.25
fall		3	3.43	0.00	2.67	0.00	0.00	0.00	0.00	0.00		0.00	6.10	6.10	0.00	0.00	0.00	2.67	3.43
fear		1	0.27	0.63	2.20	0.47	0.07	1.60	1.30	0.37		1.10	2.47	3.57	1.37	1.97	3.33	5.73	1.17
ferment		1	0.80	0.80	1.67	0.73	0.13	0.33	0.73	0.30		1.53	2.47	4.00	0.87	0.63	1.50	3.53	1.97
finish		3	2.57	0.00	0.00	0.60	1.90	0.13	0.23	1.13		0.60	2.57	3.17	2.13	1.27	3.40	0.37	6.20
flee		1	0.00	1.40	1.53	0.00	0.13	1.73	2.47	0.20		1.40	1.53	2.93	2.60	1.93	4.53	7.13	0.33
float		3	0.23	2.97	0.20	0.90	0.77	0.63	0.83	0.60		3.87	0.43	4.30	1.60	1.23	2.83	4.63	2.50
flourish	2	0.34	2.13	0.09	2.91	0.16	0.09	0.19	0.09		5.03	0.44	5.47	0.34	0.19	0.53	2.50	3.50
flower		2	0.47	1.66	0.03	2.78	0.41	0.09	0.38	0.13		4.44	0.50	4.94	0.78	0.22	1.00	2.16	3.78
fly		1	0.33	1.90	0.13	2.57	0.73	0.07	0.30	0.13		4.47	0.47	4.93	1.03	0.20	1.23	2.40	3.77
follow		3	1.47	0.00	0.00	1.60	2.87	0.40	0.33	1.97		1.60	1.47	3.07	3.20	2.37	5.57	0.73	7.90
frown		2	1.59	0.50	2.38	0.31	0.22	0.31	1.69	0.28		0.81	3.97	4.78	1.91	0.59	2.50	4.88	2.41
gain		2	0.88	1.41	0.75	0.66	1.03	1.13	0.88	0.69		2.06	1.63	3.69	1.91	1.81	3.72	4.16	3.25
